,Time,ID,lat1,lon1
0,2020-03-16 11:28:11,2B692486-F33E-4310-926F-B0AFE5A0ACB7,39.779871,-104.968441
2,2020-03-16 11:28:24,64F46F2A-3751-459F-B9D2-FBD5FDCA58CB,39.780549,-104.96635
3,2020-03-16 11:28:34,013EDC77-515F-4847-B54E-B6670BFB6DA1,39.779719,-104.97096
4,2020-03-16 11:29:04,71A9B26F-30CA-41E4-A661-51DA579FBECF,39.778952000000004,-104.96986899999999
11,2020-03-16 11:15:33,1AD02D20-BC7C-4C6E-AF64-70E85A1465B0,39.780052000000005,-104.966003
14,2020-03-16 11:15:51,E1DB7FD4-9E47-4051-9F25-C00A903472DC,39.781379,-104.97187
19,2020-03-16 11:16:14,804D24A7-BE8B-48CC-A833-E463F3B1A9A1,39.775419,-104.97230900000001
20,2020-03-16 11:16:51,E7CEA6FE-0A02-4B96-8741-39D6813C05F7,39.779709999999994,-104.97535900000001
21,2020-03-16 11:08:05,8244C716-1ACF-431B-9571-09F55C6909F2,39.780839,-104.96698
24,2020-03-16 11:08:41,2AF59408-9B56-4527-8B2A-A7E414D4094B,39.781586,-104.96628600000001
25,2020-03-16 11:09:15,A6EE11F1-AA06-4AA1-A9C9-80DEE59452D7,39.779672999999995,-104.974396
28,2020-03-16 11:34:49,63C312E1-7C31-4885-8ABB-36BCA0A2CB6C,39.779323,-104.9719
29,2020-03-16 11:55:58,6DA2B3C8-8951-41C5-814D-25E4DB40DC3C,39.77982,-104.97026000000001
30,2020-03-16 11:56:32,3E5FFDF1-7B10-40BF-9760-AA4A6BB03F8D,39.779848,-104.96811100000001
33,2020-03-16 11:51:49,A8D998BF-0FC3-4D74-8487-1C48153445BB,39.7798,-104.97563999999998
35,2020-03-16 11:29:40,0F8E8D4D-0828-4717-BEA1-EA771A01D811,39.779959999999996,-104.96695
36,2020-03-16 11:29:44,4BE93EF8-E58A-4550-9125-F3C7C54278C8,39.7798,-104.96783
38,2020-03-16 11:30:05,DAA304B3-7999-432C-AAA8-2F704B08C5E9,39.77973,-104.97474
40,2020-03-16 11:30:35,4430AE83-42E3-4DD8-AB01-9DD4411285C2,39.77982,-104.96868
41,2020-03-16 11:38:21,00AF2A1E-FB5E-4928-A3D1-E4D5D1A23ECD,39.779678999999994,-104.97233
42,2020-03-16 11:38:34,488238D4-30E3-4E57-AB00-71D03DAA97AC,39.77935,-104.97596999999999
43,2020-03-16 11:38:56,D4DD1DEF-DE02-4207-BCDD-0EA8B57A470D,39.779949,-104.968549
44,2020-03-16 11:39:06,533D6F0F-8211-4F97-9DCD-D98C97FA60E3,39.779539,-104.97453
45,2020-03-16 11:39:42,BE8EB016-5EFF-472F-BE08-0E9D1D8183A0,39.779769,-104.97583999999999
52,2020-03-16 11:35:27,FF495864-A0FE-433B-B56A-76F85152F173,39.778795,-104.974116
53,2020-03-16 11:27:44,9C5222C5-26B6-42D4-B8AD-90FDD1E57641,39.780009,-104.967519
55,2020-03-16 11:21:42,A5C65966-FE1B-4237-AA45-39CCA9ADD5E0,39.780589,-104.96643999999999
58,2020-03-16 11:22:20,DDA49169-B102-42E5-A399-AD0686714E25,39.780136,-104.96695
63,2020-03-16 11:17:17,F98D27EC-263D-4C65-9646-58681AAE5FF5,39.779959999999996,-104.97342900000001
67,2020-03-16 11:17:51,A77F89BA-AD3D-4264-979F-9578F6E66AC8,39.77987,-104.96772
68,2020-03-16 11:17:59,44C876DB-7E61-4F88-9446-06D548FB9BA0,39.77982,-104.96995
69,2020-03-16 11:18:09,09064F80-9B04-4536-9E36-3A411BBCA065,39.779609,-104.97438999999999
70,2020-03-16 11:18:16,9A6EEAE8-6E36-4D1A-91C1-D34869924507,39.77993,-104.97192
71,2020-03-16 11:18:20,3D2290D8-F709-40AD-852E-DB5F08A1FA62,39.780729,-104.96681000000001
74,2020-03-16 11:07:16,3545944B-FD01-4697-941A-77D12A5BF207,39.77982,-104.96871000000002
91,2020-03-16 11:14:22,D614B551-EE7C-438E-AB3C-DE317622001F,39.78005,-104.97073999999999
92,2020-03-16 11:14:30,3AC3707C-EB78-4B3C-A5AC-356FA37592A2,39.77955,-104.97158
97,2020-03-16 11:15:03,6C8BF4F3-CB23-474D-B041-E524EC194A45,39.78007,-104.96656000000002
98,2020-03-16 11:15:21,6869FDA6-6965-472F-A8F6-3264E1778298,39.78,-104.96616999999999
99,2020-03-16 11:54:46,5260271A-B9BA-4AB7-9AFE-9566012462CB,39.77993,-104.966669
100,2020-03-16 11:12:54,6A727F12-F512-4ABC-AF6A-A514452E243F,39.779589,-104.97377
101,2020-03-16 11:13:01,A365B559-8B6A-4B91-8D8C-C6FD614DC8E2,39.7798,-104.97091
111,2020-03-16 11:19:44,B9162BBD-9B48-4D67-9968-218F50A0779D,39.780029,-104.96534
