,Time,ID,lat1,lon1
24,2020-03-17 11:30:05,D8C21902-1FE0-4BD3-9955-7F1FFF74B2A5,38.302377,-76.63792099999999
25,2020-03-17 11:30:09,3412787D-2C1F-4FB5-A547-8C5EA667EBC2,38.299409999999995,-76.64081999999999
26,2020-03-17 11:30:16,37054954-3E7F-4418-8BCA-16616715EADE,38.301109999999994,-76.645619
28,2020-03-17 11:30:51,6EDE2840-5C66-4F19-B371-8160F672B98E,38.3021,-76.638189
29,2020-03-17 11:30:53,AAEF9465-77C7-4C94-850F-1D0ACB5E8A62,38.3005,-76.64350999999999
40,2020-03-17 11:15:52,AD063AF0-474E-4127-969B-28FEE0DB4BD5,39.522203000000005,-76.34626899999999
41,2020-03-17 11:15:58,A0C8E1DC-7A50-4697-90A4-B47E9A241ADE,39.52033,-76.345179
42,2020-03-17 11:16:10,4629E556-5AFF-460F-9D88-381B7BC350A3,39.51885,-76.3455
43,2020-03-17 11:16:29,C1528EC4-99A8-4F7A-A97A-71112C37C33F,39.519469,-76.34623
44,2020-03-17 11:16:40,407F3A12-62D8-49E8-98E2-61144957F76E,39.51982,-76.350759
45,2020-03-17 11:16:48,3AA8FF25-FEF8-4E57-94C3-EE74395CA705,39.51962,-76.34744
46,2020-03-17 11:16:49,72C7FC12-3B48-49F4-A55A-24269C9C8801,39.51981,-76.34586
47,2020-03-17 11:16:50,17847208-AD1F-4CBF-931D-3F0AC70BEF6D,39.51962,-76.345569
48,2020-03-17 11:16:51,BA24DACB-9B00-49F5-9C0F-8687CF96A1EB,39.520229,-76.34689
50,2020-03-17 11:17:25,4D5FA0D0-23AF-473D-919E-B9C31728FA76,39.519489,-76.34551
68,2020-03-17 11:47:56,253D07B1-0A1B-4DDE-8780-6AE4638610F9,38.2995,-76.63871999999999
70,2020-03-17 11:48:15,789A539B-F45D-4F16-A65D-84019A341892,38.300829,-76.64471
72,2020-03-17 11:48:37,B2244177-9FCB-410B-A486-398B78BD5A29,38.299439,-76.638459
75,2020-03-17 11:49:01,418B9802-5641-44D8-9E85-23FE6BDE1B10,38.299019,-76.63813
76,2020-03-17 11:49:02,4CEE8A07-D768-4FC1-B722-5A7BE9EF17B2,38.301789,-76.63867900000001
77,2020-03-17 11:49:16,34EA157E-6ECB-41FE-8820-75ACEAF1AFF8,38.30187,-76.637569
79,2020-03-17 11:49:35,2EF4F366-7E1F-4B08-9A9B-A0AB10CA0818,38.302659999999996,-76.636889
81,2020-03-17 11:50:07,746BC0FB-0D1E-4393-81CA-516BFB629551,38.302399,-76.64492299999999
83,2020-03-17 11:50:15,ACB23DF7-6260-4F66-9F50-78386A86CEE5,38.299378999999995,-76.64331999999999
90,2020-03-17 11:46:43,EBFB18A1-36B2-4142-BDF0-2B63C076A323,38.302122999999995,-76.638001
93,2020-03-17 11:46:55,2F583158-F0B4-4244-90EE-A7E1015A1026,38.301929,-76.638109
94,2020-03-17 11:46:59,60DCF0E9-7637-4D87-86E4-51A80D84F529,38.30308,-76.640879
