,Time,ID,lat1,lon1
24,2020-03-17 11:29:53,5DF889FF-38FA-4854-A91B-E35382DC97AB,39.52225,-76.346329
25,2020-03-17 11:30:00,8D1FC7C0-EEDC-4A7C-B7A7-717F01F38E53,39.5189,-76.346469
26,2020-03-17 11:30:06,619C131F-238B-4F87-B8BA-B33F01ABABFF,39.51948,-76.346649
27,2020-03-17 11:30:14,AD063AF0-474E-4127-969B-28FEE0DB4BD5,39.522203000000005,-76.34626899999999
28,2020-03-17 11:30:15,F332BA6A-58A5-4DE8-A7CC-DAA613DF07EE,39.523609,-76.346649
31,2020-03-17 11:30:27,9A4450BE-BC52-4C8A-86BF-A1F7FF2B6236,39.51847,-76.344279
33,2020-03-17 11:30:46,807B2722-D017-49EC-B994-7051B2D1DF37,39.52306,-76.34591999999999
34,2020-03-17 11:31:00,60E4DE7B-83E5-4140-B84E-48AE64BCDC6D,39.520829,-76.3503
36,2020-03-17 11:31:05,90EE66ED-9590-4CC6-BA5B-E9715BEFDDB9,39.520589,-76.34403
49,2020-03-17 11:15:58,A0C8E1DC-7A50-4697-90A4-B47E9A241ADE,39.52033,-76.345179
50,2020-03-17 11:16:10,4629E556-5AFF-460F-9D88-381B7BC350A3,39.51885,-76.3455
51,2020-03-17 11:16:29,C1528EC4-99A8-4F7A-A97A-71112C37C33F,39.519469,-76.34623
52,2020-03-17 11:16:40,407F3A12-62D8-49E8-98E2-61144957F76E,39.51982,-76.350759
53,2020-03-17 11:16:48,3AA8FF25-FEF8-4E57-94C3-EE74395CA705,39.51962,-76.34744
54,2020-03-17 11:16:49,72C7FC12-3B48-49F4-A55A-24269C9C8801,39.51981,-76.34586
55,2020-03-17 11:16:50,17847208-AD1F-4CBF-931D-3F0AC70BEF6D,39.51962,-76.345569
56,2020-03-17 11:16:51,BA24DACB-9B00-49F5-9C0F-8687CF96A1EB,39.520229,-76.34689
58,2020-03-17 11:17:25,4D5FA0D0-23AF-473D-919E-B9C31728FA76,39.519489,-76.34551
76,2020-03-17 11:47:49,DF97053C-4096-48F4-A698-B533689187EF,39.523,-76.34842900000001
78,2020-03-17 11:48:03,901AFAD5-2288-4C9D-B556-EB9FD4A902AD,39.521549,-76.350589
81,2020-03-17 11:48:29,D5B06880-35BC-4890-9674-FB1066103E22,39.5227,-76.349019
83,2020-03-17 11:48:54,E020300E-0ED1-4557-97C0-95E9BD1E91C5,39.518799,-76.345839
86,2020-03-17 11:49:24,6AC70C1A-B842-4C51-9175-854A09941B80,39.51984,-76.351129
87,2020-03-17 11:49:26,E9FDE1E2-FA09-43A0-9804-23DF4826BFD2,39.51981,-76.34626999999999
90,2020-03-17 11:49:53,BC7B5E5D-3377-4D84-80F0-635423FD5FB0,39.521369,-76.35016
91,2020-03-17 11:49:57,13080082-65A0-4FEB-BA2D-3D82DD1280B4,39.5169,-76.348709
92,2020-03-17 11:50:14,2906BAFB-86CF-4DF0-9142-39F5A94941A1,39.52306,-76.34905
95,2020-03-17 11:46:45,E617D844-8CAC-4180-B2AE-373516F9FA29,39.522939,-76.345669
97,2020-03-17 11:47:14,2AC49AD5-712D-40BC-8FA9-83E616B53919,39.52156,-76.3465
98,2020-03-17 11:47:18,8D0F9E45-BF70-49DF-9609-5BE6CFDB517D,39.521029999999996,-76.34546999999999
99,2020-03-17 11:47:26,6F715E39-3174-4559-93BD-FDAFF91E2C86,39.521729,-76.346249
100,2020-03-17 11:47:45,D43EFEA2-7128-4CD7-B3C4-F2E94C06A259,39.523109999999996,-76.34577
120,2020-03-17 11:08:50,F6B1AAC4-A402-4410-95BC-CE6B2E03C322,39.520229,-76.347089
125,2020-03-17 11:41:05,E9C8FA70-EE58-4673-A535-0B8556A5DAB5,39.519659999999995,-76.34465
126,2020-03-17 11:41:53,0B822094-3649-49E9-AE69-840D812D8B0A,39.51972,-76.34574
127,2020-03-17 11:41:54,761C3BD0-7CBE-479E-83FE-7F2E86024EBC,39.51962,-76.345939
128,2020-03-17 11:55:57,CE38AF68-C80C-417E-B9B6-C9DFCE940AB5,39.520029,-76.346959
129,2020-03-17 11:56:05,6BB71F62-6B93-4332-8974-8FED291A29AD,39.520339,-76.34671
130,2020-03-17 11:56:11,CBA10E51-6D3A-4043-8022-ECEF11751672,39.5202,-76.34456999999999
146,2020-03-17 11:56:42,BA7BCFD6-9AB4-498C-B0EA-F0034EA0B259,39.51959,-76.34578
148,2020-03-17 11:56:47,402C0B68-CAAD-40FB-ADDC-4AECC39854FD,39.51858,-76.34089
150,2020-03-17 11:57:03,DEE9D285-21C8-4431-8670-378FC136DBAD,39.519379,-76.34604200000001
153,2020-03-17 11:57:40,FEA4F3D1-EB01-4C00-832F-901290ECF8E6,39.52006,-76.346239
159,2020-03-17 11:58:21,A7F6D3EF-F79A-44B0-89A2-4621C37B908E,39.519019,-76.345439
161,2020-03-17 11:58:29,A86F0B43-9881-45A2-A259-87A0FFAEDB95,39.516259999999996,-76.34215
162,2020-03-17 11:58:30,E698BE22-88F1-4D41-8D22-FA64165A5D16,39.51874,-76.340609
195,2020-03-17 11:14:34,9AB92A57-A0A7-4E66-B37D-639893CA7E2B,39.519459999999995,-76.34826899999999
199,2020-03-17 11:15:32,53F1BFE3-3F93-4391-AE93-827ED369F217,39.51952,-76.344549
201,2020-03-17 11:15:33,D1C75797-68FB-4E19-9BAB-C2B8FD001DA3,39.518687,-76.343788
204,2020-03-17 11:53:29,5489B8C8-609C-41F4-A7C5-AAEE21EA25FC,39.518898,-76.34524300000001
